latitude,longitude,altitude
-12.46039,130.837,33.5
-12.45945,130.83795,32
-12.45924,130.83772,31.8
-12.45797,130.83642,28.9
-12.45794,130.83636,28.6
-12.45781,130.83619,28.1
-12.45781,130.83616,28
-12.45782,130.83616,28
-12.45782,130.83612,27.9
-12.45781,130.83611,27.9
-12.45781,130.83609,27.8
-12.4578,130.83608,27.8
-12.4578,130.83607,27.8
-12.45779,130.83606,27.8
-12.45779,130.83605,27.8
-12.45778,130.83605,27.8
-12.45776,130.83603,27.7
-12.45775,130.83603,27.8
-12.45775,130.83602,27.7
-12.45772,130.83602,27.8
-12.45772,130.83601,27.8
-12.45768,130.83601,27.8
-12.45767,130.83602,27.8
-12.45765,130.83602,27.8
-12.45764,130.83603,27.9
-12.45763,130.83603,27.9
-12.45763,130.83604,27.9
-12.45762,130.83604,27.9
-12.4576,130.83606,27.9
-12.4576,130.83607,27.9
-12.45759,130.83607,27.9
-12.45759,130.83609,27.9
-12.45758,130.8361,28
-12.45758,130.83613,28
-12.45722,130.83652,27.9
-12.45703,130.83669,28
-12.45668,130.83705,28
-12.45664,130.8371,28
-12.45661,130.83712,27.9
-12.45655,130.83719,27.9
-12.45626,130.83746,28
-12.45561,130.83812,27.1
-12.45551,130.83823,26.8
-12.45353,130.84024,21.2
-12.45329,130.8405,21.1
-12.45323,130.84056,21.3
-12.45314,130.84063,21.8
-12.45304,130.8407,22.3
-12.45291,130.84078,23.1
-12.45283,130.84082,23.6
-12.45265,130.84087,24.6
-12.45261,130.84089,24.8
-12.45246,130.84093,25.2
-12.45238,130.84094,25.1
-12.45199,130.84094,25
-12.45198,130.84096,25
-12.45195,130.84099,24.9
-12.45183,130.84101,24.9
-12.45181,130.84101,24.9
-12.4518,130.84102,24.9
-12.45178,130.84103,24.9
-12.45175,130.84106,24.9
-12.45172,130.84111,24.9
-12.45172,130.84124,24.8
-12.45171,130.84136,24.8
-12.45169,130.84145,24.9
-12.45169,130.84146,24.9
-12.45165,130.84155,25.1
-12.45159,130.84166,25.3
-12.45137,130.84198,25.6
-12.4513,130.84206,25.8
-12.45192,130.84255,20
-12.45236,130.84288,14.8
-12.45237,130.84288,14.7
-12.4525,130.84299,13.4
-12.45253,130.84301,13.4
-12.45266,130.84315,13
-12.45276,130.84332,12.7
-12.45282,130.84349,12.6
-12.45285,130.8438,12.6
-12.45272,130.84526,10.8
-12.45256,130.84623,10
-12.45251,130.84661,10
-12.45251,130.84678,10
-12.45252,130.84689,10
-12.45253,130.84695,9.9
-12.45248,130.84732,10.2
-12.45246,130.84737,10.3
-12.4524,130.84748,10.8
-12.45232,130.84752,11.5
-12.45184,130.84779,13.3
-12.45162,130.8479,13.4
-12.45127,130.84806,13.4
-12.45105,130.84815,13.3
-12.45087,130.8482,13.5
-12.45071,130.84823,12.5
-12.4502,130.84836,8.2
-12.45014,130.84838,7.9
-12.45001,130.8484,7.2
-12.44879,130.84872,8.6
-12.44833,130.84883,8.6
-12.44788,130.84895,9.3
-12.44682,130.84911,11.8
-12.44637,130.84915,11.8
-12.44585,130.84917,11
-12.44543,130.84916,12
-12.44498,130.84916,13
-12.44486,130.84915,13
-12.44461,130.84912,12.9
-12.44274,130.84899,15.4
-12.44245,130.84899,15.9
-12.44215,130.849,13.7
-12.44203,130.84902,12.7
-12.44155,130.84905,9.3
-12.44108,130.84912,7
-12.44052,130.84922,5.7
-12.44017,130.84932,5.2
-12.44015,130.84933,5.2
-12.43974,130.84947,5.8
-12.43958,130.84953,6.3
-12.43913,130.84973,7.4
-12.43836,130.85014,9.7
-12.4382,130.85026,10
-12.43761,130.85065,12.8
-12.4374,130.85082,14.1
-12.43701,130.85118,18.1
-12.43657,130.85163,24.1
-12.436,130.85235,24.3
-12.43571,130.85278,24.1
-12.43559,130.85299,24
-12.43535,130.85345,23.2
-12.43521,130.85376,22.9
-12.43511,130.85396,22.9
-12.43458,130.85534,20.5
-12.43438,130.85589,19.8
-12.43401,130.85681,18.3
-12.43366,130.85775,18
-12.43362,130.8579,18.1
-12.43346,130.85834,18.5
-12.4332,130.85897,17.4
-12.4331,130.85924,15.6
-12.43305,130.85935,14.3
-12.43301,130.85946,13.1
-12.43296,130.85958,11.9
-12.43285,130.85999,8.7
-12.43278,130.86019,8.1
-12.43263,130.86078,6.8
-12.43258,130.86102,6.8
-12.4325,130.86159,7
-12.43246,130.86206,6.2
-12.43244,130.86251,5.3
-12.43243,130.86685,8.2
-12.43244,130.86698,8.3
-12.43241,130.87151,18.5
-12.43242,130.8718,19.3
-12.43242,130.8735,18.6
-12.43241,130.87371,19.4
-12.43239,130.87574,24
-12.4324,130.87785,25.1
-12.43233,130.88997,19.5
-12.43234,130.89057,20.1
-12.43241,130.89133,20.8
-12.43254,130.89211,22.8
-12.43269,130.89275,25.5
-12.4328,130.89315,26.4
-12.4331,130.8941,29.3
-12.43325,130.89447,28.9
-12.43353,130.89506,27.8
-12.43372,130.89543,26
-12.43404,130.89596,21.9
-12.4345,130.89667,18
-12.43475,130.89702,17.6
-12.43483,130.89711,17.5
-12.43496,130.89729,17.3
-12.43639,130.89904,11.9
-12.43657,130.89932,12.3
-12.43689,130.89974,13.9
-12.43725,130.90028,16.6
-12.43741,130.90049,17.4
-12.43749,130.90062,17.7
-12.43754,130.90071,18.2
-12.43765,130.90088,19.5
-12.43817,130.9018,27.4
-12.4383,130.90206,28.8
-12.43847,130.90248,30.8
-12.43863,130.90284,31.4
-12.43865,130.9029,31.4
-12.43872,130.90307,31.6
-12.43874,130.90315,31.7
-12.43882,130.90338,32
-12.43887,130.90358,32.5
-12.43895,130.9038,33.1
-12.43912,130.90447,34.9
-12.43916,130.90466,35.8
-12.43919,130.90477,36.3
-12.43947,130.90644,36.3
-12.43951,130.90662,36.1
-12.43958,130.9071,36.5
-12.43997,130.90916,33.2
-12.44002,130.90937,33.1
-12.4401,130.90962,33.3
-12.44015,130.9098,33.3
-12.44021,130.90998,33.3
-12.44026,130.91015,33.1
-12.44042,130.91062,32
-12.44058,130.91101,30.4
-12.44064,130.91117,29.7
-12.44065,130.91118,29.6
-12.44087,130.91168,27.7
-12.44088,130.91171,27.4
-12.44102,130.91195,25.1
-12.44135,130.91259,20.2
-12.44151,130.91287,18.3
-12.44167,130.91311,16.8
-12.44209,130.91371,15.1
-12.44295,130.91486,14.2
-12.4433,130.91529,14.1
-12.44376,130.91588,13
-12.4438,130.91594,13
-12.44413,130.91633,12.7
-12.44431,130.91653,12.8
-12.44449,130.91671,13.1
-12.44479,130.91699,13.6
-12.44501,130.91715,13.6
-12.44539,130.91741,14.7
-12.44579,130.91765,16.1
-12.44657,130.91809,16.2
-12.44816,130.91908,17.1
-12.44845,130.9193,18
-12.44872,130.91956,19
